item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
1,לֵעְ'ה,שפה,,word,רבים: לֵעְ'את
2,קֵצֵّה,סיפור,,word,רבים: קֵצַצ
3,גְ'בְּהַה,חזית,,word,רבים: גְ'בְּהַאת
4,חַרַכֵּה,תנועה,,word,רבים: חַרַכַּאת
5,מַחַטַّה,תחנה,,word,רבים: מַחַטַّאת
6,רֵחְ'צֵה,רישיון,,word,רבים: רֵחַ'צ
7,סְוַאקַה,נהיגה,,word,
8,סֵיר,נסיעה / תחבורה,,word,
9,שוֹפֵיר,נהג,,word,רבים: שוֹפֵירִיֵّה
10,סַאאֵק,נהג,,word,"רבים: סַאאִקִין; = סְוַّאק"
11,בַּאצ,אוטובוס,,word,רבים: בַּאצַאת
12,סַנֵה,שנה,,word,"רבים: סְנִין, סַנַוַאת"
13,עְמוּלֵה,עמלה,,word,רבים: עְמוּלַאת
14,חְכּוּמֵה,ממשלה,,word,רבים: חְכּוּמַאת
15,בַּנְכּ,בנק,,word,רבים: בְּנוּכּ
16,לַזִّיז,טעים,,word,"נקבה: לַזִיזֵה; לַזִّה = טעימה/הלחמניה טעימה"
17,קַנִّינֵה,בקבוק,,word,רבים: קַנַאנִי
18,עֻלְבֵּה,קופסה,,word,רבים: עֻלַבּ
19,אִבְּרֵה,מחט / זריקה,,word,
20,אַחְ'צַ'ר,ירוק,,word,"נקבה: חַ'צְ'רַה; רבים: חֻ'צֻ'ר"
21,שִיח',שיח,,word,"רבים: שְיוּח', מַשַאיֵח'"
22,שַקֵّה,דירה,,word,"גם 'צד' (של מחסום); רבים לא נמסר"
23,טַרַף,צד / חלק,,word,"רבים: אַטְרַאף; צדדים, חלקים"
24,גַ'נְבּ,צד,,word,"רבים: אַגְ'נַאבּ; צדדים (פיזי)"
25,חַאגֵ'ז,מחסום,,word,רבים: חַוַאגֵ'ז
26,רַמְזוֹר,רמזור,,word,רבים: רַמְזוֹנַאת
27,דַוַّאר,כיכר,,word,"רבים: דַוַّארַאת; כיכרות"
28,גַ'רִידֵה,עיתון,,word,רבים: גַ'רַאיֵד
29,שַגַ'רַה,עץ,,word,"רבים: אַשְגַ'אר, שַגַ'רַאת; שַגַ'ר (שם קיבוצי)"
30,זֵיתוּן,זיתים,,word,שם קיבוצי
31,זֵית,שמן,,word,רבים: זְיוּת
32,פִי,ב...,,word,מילת יחס
33,מִן,מ...,,word,מילת יחס
34,עַלַא,על,,word,מילת יחס
35,עַן,אודות,,word,מילת יחס
36,תַארִיח',תאריך / היסטוריה,,word,רבים: תַוַארִיח'
37,דִין,דת,,word,רבים: אַדְיַאן
38,אִסְלַאם,אסלאם,,word,
39,מֻסְלֵם,מוסלמי,,word,רבים: מֻסְלְמִין
40,מֻסְלְמֵה,מוסלמית,,word,רבים: מֻסְלְמַאת
41,יַהוּדִי,יהודי,,word,רבים: יַהוּד
42,יַהוּדִיֵّה,יהודייה,,word,רבים: יַהוּדִיַّאת
43,מַסִיחִי,נוצרי,,word,"רבים: מַסִיחִיִّין, מַסִיחִיֵّה"
44,מַסִיחִיֵّה,נוצרייה,,word,רבים: מַסִיחִיַّאת
45,תַכְּסִי,מונית,,word,רבים: תַכְּסִיַّאת
46,יַמִין,ימין (צד),,word,
47,שְמַאל,שמאל (צד),,word,
48,חַקّ,זכות / צדק,,word,"רבים: חֻקוּק; גם במשמעות מחיר"
49,בַּסִיט,פשוט,,word,רבים: בֻּסַטַאא
50,בַּסִיטַה,לא נורא / פשוטה,,word,
51,חַ'ט,קו,,word,רבים: חְ'טוּט
52,אַח',אח,,word,"רבים: אִחְ'וֵה; בסיס נטייה אַח'וּ-"
53,אֻחְ'ת,אחות,,word,רבים: חַ'וַّאת
54,מֵפְתַאח,מפתח,,word,רבים: מַפַאתִיח
55,קֵפֵל,מנעול,,word,רבים: אַקְפַאל
56,שַאבּ,בחור צעיר,,word,רבים: שַבַּאבּ
57,שַאבֵּّה,בחורה צעירה,,word,רבים: שַאבַّאת
58,צִ'דّ,נגד,,word,
59,כֻּלّ,כל,,word,
60,אַו / וַלַّא,או,,word,
61,שַעַבּ,עם,,word,רבים: שְעוּבּ
