item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
23,מַדְרַסֶה,בית ספר,,word,רבים: מַדַארֶס (בתי ספר)
24,מֻדִיר,מנהל,,word,רבים: מֻדַרַאא (מנהלים)
25,מֻדִירֵה,מנהלת,,word,רבים: מֻדִירַאת (מנהלות)
26,שִרְכֶּה,חברה,,word,רבים: שִרְכַּאת
27,מֻחַאמִי,"עו""ד",,word,"רבים: מֻחַאמִיִּין (עורכי דין), שדה על י"
28,מֻחַאמִיֵּה,עורכת דין,,word,שדה על י. רבים: מֻחַאמִיַאת (עורכות דין)
29,וִזַארַה,משרד ממשלתי,,word,רבים: וִזַארַאת (משרדי ממשלה)
30,עַדֶל,צדק,,word,
31,תִלְמִיז,תלמיד,,word,רבים: תַלַאמִיז (תלמידים)
32,תִלְמִיזֶה,תלמידה,,word,רבים: תִלְמִיזַאת (תלמידות)
33,צַאחֶבּ,"חבר, בעל מקום/חברה",,word,רבים: אַצְחַאבּ (חברים)
34,צַאחְבֶּה,"חברה, בעלת מקום/חברה",,word,רבים: צַאחְבַּאת (חברות)
35,דַאר,בית,,word,רבים: דוּר (בתים)
36,וַלַד,ילד,,word,רבים: וְלַאד (ילדים)
37,אִבֶּן,בן,,word,רבים: אַבְּנַאא (בנים)
38,בִּנְת,ילדה / בת,,word,רבים: בַּנַאת (ילדות / בנות)
39,עַםּ (ר) עֻמוּם; עַמֶּה (ר) עַמַּאת,דוד מצד האב; דודה מצד האב,,word,שדה על ם/מ. שני זוגות באותו מספר
40,חַ'אל (ר) אַחְ'וַאל; חַ'אלֶה (ר) חַ'אלַאת,דוד מצד האם; דודה מצד האם,,word,שני זוגות באותו מספר
41,סַלַאמֶה,בריאות / שלמות,,word,
42,צַפּ,כיתה,,word,שדה על פ. רבים: צְפוּפ (כיתות)
43,בַּאבּ,"דלת, שער",,word,"רבים: אַבְּוַאבּ (דלתות, שערים)"
44,שֻבַּאכּ,חלון,,word,שדה על ב. רבים: שַבַּאבִּיכּ (חלונות)
45,חֵיט,קיר,,word,רבים: חֵיטַאן (קירות)
46,כֻּרְסִי,כסא,,word,רבים: כַּרַאסִי (כסאות)
47,טַאוְלֶה,שולחן,,word,רבים: טַאוְלַאת (שולחנות)
48,לוֹח,לוח,,word,רבים: אַלְוַאח (לוחות)
49,קַלַם,עט,,word,רבים: קְלַאם (עטים)
50,קַלַם רְצַאצ,עיפרון,,phrase,רבים: קְלַאם רְצַאצ (עפרונות)
51,דַפְתַר,מחברת,,word,רבים: דַפַאתֶר (מחברות)
52,כְּתַאבּ,ספר,,word,רבים: כֻּתֻבּ (ספרים)
53,כֻּרַּאסֶה,חוברת,,word,שדה על ר. רבים: כֻּרַּאסַאת (חוברות)
54,שַנְטַה / שַנְתַה,"תיק, מזוודה",,word,רבים: שֻנַט / שַנְטַאת / שַנְתַאת
55,וַרַקֶה,דף,,word,"רבים: אַוְרַאק, וְרַאק (דפים)"
56,צַפַחֶה,עמוד,,word,רבים: צַפַחַאת (עמודים)
57,אִסְתִרַאחֶה,הפסקה,,word,רבים: אִסְתִרַאחַאת (הפסקות)
58,פֻרְצַה,"הזדמנות, סיכוי, חופשה, הפסקה",,word,רבים: פֻרַץ
59,קַהְוֶה,קפה,,word,
60,שַאיְ,תה,,word,
61,סֻכַּר,סוכר,,word,שדה על כ
62,כַּאסֶה,כוס,,word,"רבים: כַּאסַאת, כֻּבַּאיֶה (ר) כֻּבַּאיַאת"
63,חַמַּאם,"אמבטיה, בית שימוש",,word,שדה על מ. רבים: חַמַּאמַאת
64,מֻחַאמַאה,עריכת דין,,word,
