item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
,טַיַּארַה,מטוס,,word,
,רַגֻ'ל,גבר / איש,,word,"רבים: רְגַ'אל"
,מַסְגִ'ד,מסגד,,word,"רבים: מַסַאגִ'ד. גם גַ'אמֵע (ר) גַ'וַאמֵע"
,סַטְח,גג,,word,"רבים: סְטוּח"
,אַו,או,,word,
,צֻ'הֻר,צהריים,,word,"ظ נחצית — לא צ' עברית"
,(אל)צֻّבֻּח,הבוקר,,word,
,בַּעְד (א)לצֻّ'הֻר,אחר הצהריים,,phrase,
,סֵיעַה,שעון / שעה,,word,"רבים: סַאעַאת"
,חַרְבּ,מלחמה,,word,"שים לב: חַרְבּ=מלחמה, סֵיף=חרב"
,סֵיף,חרב,,word,
,שַמְס,שמש,,word,"אות שמש קלאסית: (אל)שַّמְס"
,שֻפְת,ראיתי,,word,
,שַהְר,חודש,,word,"בסיס בלי דגש; (אל)שַّהְר — הדגש מהיידוע"
,עַ = עַלַא,על,,word,
,מַרַּאת,פעמים,,word,"מַרַּה=פעם, מַרַה=אישה — הדגש מבדיל"
,מַרַה,אישה,,word,"רבים: נִסְוַאן"
,זַלַמֵה,בחור / גבר (סלנג),,word,"רבים: זְלַאם"
,אִנְסַאן,בן אדם,,word,"רבים: אַנַאסִי"
,גֹ'וֹז,בעל,,word,"רבים: אַזְוַאגֹ'"
,וֵין = פֵין,איפה / היכן,,word,
,גַ'מְבּ / גַ'נְבּ,ליד,,word,
,כַּמַאן,גם / עוד,,word,
,אַעְטַא,נתן,,word,
,עַאפְיֵה,בריאות,,word,"יַעְטִיכּ (א)לְעַאפְיֵה = שיתן לך בריאות"
,אַבּוּי,אבא שלי,,word,
,אִמִּי,אמא שלי,,word,
,לַא וַאלְלַה,נשבע שלא / ממש לא,,phrase,
,יַא הַלַא / הַלַא הַלַא,שלום! (תגובה לאהלן וסהלן),,phrase,
,שִי / אִשִי,דבר / משהו,,word,
,שַעְ'לֵה,עניין / נושא,,word,"שַעְ'לֵה תַבַּעִי = העניין שלי"
,יִלְעַן,יקלל,,word,"עם הזמן נהיה אִנְעַל"
,תַבַּע / תַע,של,,word,"תַבַּעִי = שלי"
14,גְ'דִיד,חדש,,word,"פריט 14. רבים: גְ'דַאד, גֻ'דֻד. נקבה: גְ'דִידֵה"
15,קַדִים,ישן (זמן),,word,"פריט 15. רבים: קֻדַמַאא. נקבה: קַדִימֵה"
16,כְּבִּיר,גדול,,word,"פריט 16. רבים: כְּבַּאר. נקבה: כְּבִּירֵה"
17,זְעִ'יר,קטן,,word,"פריט 17. רבים: זְעַ'אר. נקבה: זְעִ'ירֵה"
18,חַאסוּבּ / כַּמְבְּיוּתֵר,מחשב,,word,"פריט 18. רבים: חַוַאסִיבּ, כַּמְבְּיוּתֵרַאת"
19,חַארַה,שכונה,,word,"פריט 19. רבים: חַארַאת, חַיּ (ר) אַחְיַאא"
20,מַסְגִ'ד,מסגד,,word,"פריט 20. רבים: מַסַאגִ'ד. גם גַ'אמֵע"
21,חַ'זַאנֵה,ארון / כספת,,word,"פריט 21. רבים: חַ'זַאאֵן"
22,מַחְ'זַן,מחסן,,word,"פריט 22. רבים: מַחַ'אזֵן"
23,מַטְבַּח,מטבח,,word,"פריט 23. רבים: מַטַאבֵּח"
24,עֻ'רְפֵה,חדר,,word,"פריט 24. רבים: עֻ'רַף. גם אוֹצַ'ה (ר) אֻוַצ'"
25,בַּלְכּוֹנֵה / בַּרַנְדַא,מרפסת,,word,"פריט 25. רבים: בַּלְכּוֹנַאת, בַּרַנְדַאת"
26,דַרַגֵ'ה,מדרגה,,word,"פריט 26. רבים: דַרַגַ'את, דַרַג' (שם קיבוצי)"
27,מַלְגַ'א,מקלט (מחסה),,word,"פריט 27. רבים: מַלַאגִ'י"
28,סַטְח,גג,,word,"פריט 28. רבים: סְטוּח"
29,סַקֵף,תקרה,,word,"פריט 29. רבים: סְקוּפ"
30,סֵיעַה,שעה,,word,"פריט 30. רבים: סַאעַאת"
31,דַקִיקַה,דקה (זמן),,word,"פריט 31. רבים: דַקַאיֵק"
32,תַאנְיֵה,שנייה,,word,"פריט 32. רבים: תַוַאנִי"
33,לַחְטַ'ה,רגע,,word,"פריט 33. רבים: לַחַטַ'את"
34,מַכְּתַבּ,משרד,,word,"פריט 34. רבים: מַכַּאתֵבּ"
35,מַכְּתַבֵּה,ספרייה / חנות ספרים,,word,"פריט 35. רבים: מַכַּאתֵבּ, מַכְּתַאבַּאת"
36,וַטִ'יפֵה,משרה / מטלה / שיעורי בית,,word,"פריט 36. רבים: וַטַ'אאֵפ"
37,שַהַאדֵה,תעודה (מקצוע),,word,"פריט 37. רבים: שַהַאדַאת"
38,קַמִיצ,חולצה מכופתרת,,word,"פריט 38. רבים: קֻמְצַאן"
39,בְּלוּזֵה,חולצת טריקו,,word,"פריט 39. רבים: בְּלַאיֵז"
40,בַּנְטַלוֹן,מכנסיים,,word,"פריט 40. רבים: בַּנַאטִיל, בַּנְטַלוֹנַאת"
41,כֻּנְדַרַה,נעל,,word,"פריט 41. רבים: כַּנַאדֵר"
42,עַמַארַה,בניין,,word,"פריט 42. רבים: עַמַארַאת"
43,טַאבֵּק,קומה,,word,"פריט 43. רבים: טַוַאבֵּק"
44,גַ'אר,שכן,,word,"פריט 44. רבים: גִ'ירַאן"
45,גַ'ארַה,שכנה,,word,"פריט 45. רבים: גַ'ארַאת"
46,דֻכַּּאן,חנות,,word,"פריט 46. רבים: דַכַּאכִּין"
47,מַחַלּ,מקום,,word,"פריט 47. רבים: מַחַלַּאת"
48,סֻאַאל,שאלה,,word,"פריט 48. רבים: אַסְאִלֵה, סֻאַאלַאת"
49,גַ'וַאבּ,תשובה,,word,"פריט 49. רבים: אַגְ'וִבֵּה, גַ'וַאבַּאת"
50,מַטַאר,שדה תעופה,,word,"פריט 50. רבים: מַטַארַאת"
51,שֻעֻ'ל,עבודה,,word,"פריט 51. רבים: אַשְעַ'אל"
52,בַּלַד,יישוב,,word,"פריט 52. רבים: בְּלְדַאן"
