item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
,אִחְדַעְש,אחת עשרה (11),,word,לא מהספר — לאמת מול המורה
,אִתְנַעְש,שתים עשרה (12),,word,לא מהספר
,תַלַתַּעְש,שלוש עשרה (13),,word,לא מהספר
,אַרְבַּעְטַעְש,ארבע עשרה (14),,word,לא מהספר
,חַ'מְסְטַעְש,חמש עשרה (15),,word,לא מהספר
,סִתַּעְש,שש עשרה (16),,word,לא מהספר
,סַבַּעְטַעְש,שבע עשרה (17),,word,לא מהספר
,תַמַנְטַעְש,שמונה עשרה (18),,word,לא מהספר
,תִסַעְטַעְש,תשע עשרה (19),,word,לא מהספר
,עִשְרִין,עשרים (20),,word,"לא מהספר. 21 = וַאחַד וּעִשְרִין — היחידות לפני העשרות!"
