translit_nikud,hebrew_meaning,item_type,notes
הַאדַא מַחְ'זַן (א)לְמַסְגֵ'ד,זה מחסן המסגד,sentence,סמיכות. מפגש 3
הַדַאכּ מַסְגֵ'ד (א)לְחַארַה,ההוא מסגד השכונה,sentence,סמיכות
הַאדַא מַטְבַּח' (אל)דַّאר,זה מטבח הבית,sentence,סמיכות
הַאדִי עֻ'רְפֵת (א)לְוַלַד,זה חדר הילד,sentence,סמיכות
הַדַאכּ חֵיט (א)לְבַּלְקוֹנֵה,ההוא קיר המרפסת,sentence,סמיכות
א(ל)טַאוְלֵה וּ(א)לְכַּרַאסִי הַדוֹל,השולחן והכסאות האלו,sentence,סמיכות
הַאדִי מַרְת חַ'אלִי וְהַאדִי מַרְת עַמִّי,זאת אשת דודי (אמא) וזאת אשת דודי (אבא),sentence,סמיכות. מרת=אשת
הַדַאכּ בַּאבּ (א)לְחַארַה,ההוא שער השכונה,sentence,סמיכות
הַאדִי עֵילֵת מַנְצוּר,זאת משפחת מנצור,sentence,סמיכות
הַאדִי חַ'זַאנֵת (א)לְחַמַّאם,זה ארון המקלחת,sentence,סמיכות
הַאדִי מַכְּתַבֵּת (א)לְגַ'אמְעַה,זו ספריית האוניברסיטה,sentence,סמיכות
הַדִיכּ מֻחַאמִיֵّת (א)לְוִזַארַה,ההיא עורכת דין המשרד (הממשלתי),sentence,סמיכות
הַאי מַדְרַסֵת (א)לְחַארַה,זו בית ספר השכונה,sentence,סמיכות
חַארֵת (אל)דַّרַג' גַ'מְבּ בַּיַّארֵת גַ'ארִי,שכונת המדרגות ליד פרדס שכני,sentence,סמיכות
שַהַאדֵת (אל)דַّוְרַה בִּ(א)לְבַּרַנְדַא,תעודת הקורס במרפסת,sentence,סמיכות
א(ל)דַّוְרַה הַיّ עַן (אל)תַّארִיח' (א)לְאִסְלַאמִי,הקורס הוא אודות ההיסטוריה האסלאמית,sentence,מילות יחס: עַן
מַחַטַّת (א)לְתַּכְּסִיַّאת פִי (א)לְעַמַארַה עַלַא (א)לְיַמִין,תחנת המוניות בבניין על צד ימין,sentence,מילות יחס: פי/עלא
א(ל)טַאוְלֵה וּ(א)לְכַּרַאסִי עַלַא סַטְח (א)לְבֵּית,השולחן והכיסאות על גג הבית,sentence,מילות יחס: עלא
אֵלְחַקّ מֵש עַלֵיכּ — אֵלְחַקّ עַלַיّ,האשמה לא עליך — האשמה עליי,sentence,מילות יחס: עלא. חַק=זכות/צדק
הֻוֵّ כַּתַבּ (א)לְקֵצֵّה עַנְכֹּם — מֵש עַנְהֹם,הוא כתב את הסיפור עליכם — לא עליהם,sentence,מילות יחס: עַן
הַדוֹל מִנִّי וּמִנّוֹ,אלה ממני וממנו,sentence,מילות יחס: מן
א(ל)זַלַמֵה מִנַّא וּפִינַא,הבן אדם מאיתנו ובתוכנו,sentence,מילות יחס: מן/פי. סלנג: הוא משלנו
יוֹם מַעַכּ וְיוֹם עַלֵיכּ,יש ימים טובים (איתך) וימים פחות (עליך),sentence,ביטוי. כמו יום עסל ויום בצל
אֵלְחַקّ מֵש עַלֵיהֹם — אֵלְחַקّ עַלֵיכֹּם,האשמה לא עליהם — האשמה עליכם,sentence,מילות יחס: עלא
הַ(א)לְחַ'זַאנֵה? א(ל)שַّנַט עַלֵיהַא,הארון הזה? התיקים עליו,sentence,מילות יחס. ה=קיצור האדי
אֵלְקֵצֵّה מֵש עַנְהַא וּמֵש עַנַכּ — אֵלְקֵצֵّה עַנַّא,הסיפור לא עליה ולא עליך — הסיפור עלינו,sentence,מילות יחס: עַן
א(ל)שַהַאדֵה הַאדִי מִנְהַא וּמִנַّכּ,התעודה הזאת ממנה וממך,sentence,מילות יחס: מן
א(ל)שַّנְטַה פִיהַא בַּנְטַלוֹן וּבְּלוּזֵה,התיק בתוכו מכנס וחולצה,sentence,מילות יחס: פי
הַדַאכּ (אל)צַّף פִיّוֹ שֻבַּّאכּ,בכיתה ההיא יש חלון,sentence,מילות יחס: פי
א(ל)דַّפְתַר וּ(א)לְקַלַם עַ טַאוְלֵה פִי מַכְּתַבִּי,המחברת והעט על שולחן במשרד שלי,sentence,מילות יחס: עלא/פי
פִי עֵנְדְכֹּם הוֹן שֻעֻ'ל בִּ(א)לְחַארַה?,יש אצלכם פה עבודה בשכונה?,sentence,ענד=יש/אצל
וֵין הִיֵّ סַאכְּנֵה? גַ'מְבּ (א)לְבַּיַّארַאת,איפה היא גרה? ליד הפרדסים,sentence,
אֵלְקַרְיֵה פִי מִנְטַקְתְכֹּם עַתִיקַה,הכפר באזור שלכם עתיק,sentence,
שַקֵّת אַח'וּי כְּתִיר כְּבִּירֵה,הדירה של אחי גדולה מאוד,sentence,נטיית אח': אַח'וּי
שַקֵّת אַח'וּהַא פִיהַא עֻ'רְפְתֵין,הדירה של אח שלה יש בה שני חדרים,sentence,זוגי: עֻ'רְפְתֵין
בַּדִّי (א)לְסֵّיّארַה (א)לְחַ'צְ'רַא,אני רוצה את המכונית הירוקה,sentence,
אַחְמַד הֻוֵّ שֵיח' (א)לְחַאר,אחמד הוא שיח השכונה,sentence,
מֵן חַקִّי,מזכותי (לעשות),phrase,נטיית חק
חַקַّכּ עַלַיّ,אתה צודק (זכותך עליי),phrase,ביטוי הסכמה
אֵלְחַק מַעַכּ,אתה צודק (הזכות איתך),phrase,ביטוי הסכמה
וַאלְלַה כְּנַאפֵה זַאכִּי,וואלה כנאפה טעים,phrase,
מַעְלֵש קַנִّינֵת קוֹלַה?,אפשר בקבוק קולה?,phrase,מעלש=אם אפשר (לבקש)
מַעְלֵש אַח'וּי,אם אפשר, אחי,phrase,
שוּ כֻּסְתַכּ?,מה הסיפור שלך?,phrase,לאישה: שוּ כֻּסְתֵכּ
טַבּ וֵין פִי?,טוב אז איפה יש?,phrase,טב=קיצור דיבורי של טייב
תְפַצַّ'ל אֵיש בִּדַّכּ,תתכבד, מה אתה רוצה?,phrase,
עֵנְדִי דוֹר פִי (א)לְבַּנְכּ,יש לי תור בבנק,phrase,
מַחַטַّת (אל)שֻّרְטַה,תחנת משטרה,phrase,
מַחַטַّת (א)לְבַּאצ,תחנת אוטובוס,phrase,
רֵחְ'צֵת סְוַאקַה,רישיון נהיגה,phrase,
א(ל)לֵّעְ'ה (א)לְעַרַבִּיֵّה,השפה הערבית,phrase,
מַדְרַסִיתְנַא,בית הספר שלנו,phrase,נטיית שייכות רבים
