item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
1,לֵעְ'ה,שפה,,word,מפגש 3. רבים: לֵעְ'את
2,קֵצֵّה,סיפור,,word,רבים: קֵצַצ
3,גְ'בְּהַה,חזית,,word,רבים: גְ'בְּהַאת
4,חַרַכֵּה,תנועה,,word,רבים: חַרַכַּאת
5,מַחַטַّה,תחנה,,word,רבים: מַחַטַّאת
6,רֵחְ'צֵה,רישיון,,word,רבים: רֵחַ'צ
7,סְוַאקַה,נהיגה,,word,
8,סֵיר,נסיעה / תחבורה,,word,לא בשימוש יומיומי; יותר כמו משרד התחבורה
9,שוֹפֵיר,נהג,,word,רבים: שוֹפֵירִיֵّה
10,סַאאֵק,נהג,,word,רבים: סַאאִקִין. = סְוַّאק
11,בַּאצ,אוטובוס,,word,רבים: בַּאצַאת
12,סַנֵה,שנה,,word,רבים: סְנִין, סַנַוַאת
13,עְמוּלֵה,עמלה,,word,רבים: עְמוּלַאת
14,חְכּוּמֵה,ממשלה,,word,רבים: חְכּוּמַאת
15,בַּנְכּ,בנק,,word,רבים: בְּנוּכּ
16,לַזִّיז,טעים,,word,נקבה: לַזִיזֵה. לַזִّה=טעימה. מילה ותיקה; זַאכִּי חדשה יותר
17,קַנִّינֵה,בקבוק,,word,רבים: קַנַאנִי
18,עֻלְבֵּה,קופסה,,word,רבים: עֻלַבּ
19,אִבְּרֵה,מחט / זריקה,,word,
20,אַחְ'צַ'ר,ירוק,,word,נקבה: חַ'צְ'רַה. רבים: חֻ'צֻ'ר
21,שִיח',שיח,,word,רבים: שְיוּח', מַשַאיֵח'. שֵיח' אֵלחַאר=שיח השכונה
22,שַקֵّה,דירה / צד,,word,רבים: שַקַק
23,טַרַף,צד / חלק,,word,רבים: אַטְרַאף. עַ טַרַף אֵלִימִין=בצד ימין
24,גַ'נְבּ,צד,,word,רבים: אַגְ'נַאבּ. גם: ליד
25,חַאגֵّז,מחסום,,word,רבים: חַוַאגֵّז
26,רַמְזוֹר,רמזור,,word,רבים: רַמְזוֹנַאת. מילה של ערבים בישראל; אֵשַארַה כללי
27,דַוַّאר,כיכר,,word,רבים: דַוַّארַאת
28,גַ'רִידֵה,עיתון,,word,רבים: גַ'רַאיֵד
29,סַגַ'רַה,עץ,,word,רבים: אַשְגַ'אר / שַגַ'רַאת. שַגַ'ר=עצים (שם קיבוצי)
30,זֵיתוּן,זיתים,,word,שם קיבוצי
31,זֵית,שמן,,word,רבים: זְיוּת
32,פִי,ב...,,word,מילת יחס. גם: יש
33,מִן,מ...,,word,מילת יחס
34,עַלַא,על,,word,מילת יחס
35,עַן,אודות,,word,מילת יחס
36,תַארִיח',תאריך / היסטוריה,,word,רבים: תַוַארִיח'
37,דִין,דת,,word,רבים: אַדְיַאן
38,אִסְלַאם,אסלאם,,word,
39,מֻסְלֵם,מוסלמי,,word,רבים: מֻסְלְמִין. נקבה: מֻסְלְמֵה (ר) מֻסְלְמַאת
40,מַסִיחִי,נוצרי,,word,רבים: מַסִיחִיّוּן. נקבה: מַסִיחִיֵّה (ר) מַסִיחִיַّאת
41,יַהוּדִי,יהודי,,word,רבים: יַהוּד. נקבה: יַהוּדִיֵّה (ר) יַהוּדִיַّאת
42,תַכְּסִי,מונית,,word,רבים: תַכְּסִיַّאת
43,יַמִין,ימין (צד),,word,
44,שְמַאל,שמאל (צד),,word,
45,חַקّ,זכות / צדק,,word,רבים: חֻקוּק. גם: מחיר. דגש על הק
46,בַּסִיט,פשוט,,word,רבים: בֻּסַטַאא
47,בַּסִיטַה,לא נורא / פשוטה,,word,נקבה של בַּסִיט
48,חַ'ט,קו,,word,רבים: חְ'טוּט
49,אַח',אח,,word,רבים: אִחְ'וֵה. בסיס נטייה אַח'וּ- (אַח'וּי/אַח'וּכּ/אַח'וּה)
50,אֻחְ'ת,אחות,,word,רבים: חַ'וַאת
51,מֻפְתַאח,מפתח,,word,רבים: מַפַאתִיח
52,קֵפֵל,מנעול,,word,רבים: אַקְפַאל
53,שַאבּ,בחור צעיר,,word,רבים: שַבַּאבּ
54,שַאבֵّّה,בחורה צעירה,,word,רבים: שַאבַّّאת
55,צִ'דّ,נגד,,word,
56,כֻּלّ,כל,,word,
57,אַו / וַלַّא,או,,word,
58,שַעַבּ,עַם,,word,רבים: שְעוּבּ
59,רַסְמִי,רשמי,,word,נקבה: רַסְמִיֵّה. רבים: רַסְמִיִّין / רַאסְמִיַّאת
,מְנִיח,טוב,,word,[מהשיעור] נקבה: מְנִיחַה. סיומת נקבה: פתח בחלק מהאותיות, צירי באחרות
,חַבִּיבֵּה,אהובה / יקירה,,word,[מהשיעור]
,עֻ'ורְפֵה,חדר,,word,[מהשיעור] סמיכות: עֻ'ורְפֵת (א)לְוַלַד=חדר הילד
,מַלְגַ'א,מקלט,,word,[מהשיעור] רבים: מַלַאגִ'י
,בַּלְקוֹנֵה,מרפסת,,word,[מהשיעור] = בַּרַנְדַא
,בַּרַנְדַא,מרפסת,,word,[מהשיעור] = בַּלְקוֹנֵה
,חַמַאם,יונים,,word,[מהשיעור] בלי דגש! חַמַّאם (דגש)=אמבטיה
,מַצַארִי,כסף,,word,[מהשיעור] נטייה: מַצַארִי/מַצַארִיכּ/מַצַארִיהּ
,וַרַא,מאחורי,,word,[מהשיעור]
,צַחַّה,בריאות,,word,[מהשיעור]
,מַכְּתַבּ,משרד / ספרייה,,word,[מהשיעור] רבים: מַכַּאתֵבּ
,בַּאבּ,דלת / שער,,word,[מהשיעור] הַדַאכּ בַּאבּ (א)לְחַארַה=שער השכונה
,אִשִי,דבר / משהו,,word,[מהשיעור] = שִי
,חַ'זַאנֵה,ארון,,word,[מהשיעור]
,דֻחַ'אן,סיגריות / עשן,,word,[מהשיעור] בַּאכֵּט דֻחַ'אן=קופסת סיגריות
,נֻצְרַה,ניצחון,,word,[מהשיעור] גַ'אבֵּת (א)לְנֻצְרַה=חזית הניצחון
,אֵשַארַה,רמזור,,word,[מהשיעור] רבים: אֵשַארַאת. הצורה הכללית (מול רַמְזוֹר של ערביי ישראל)
