item_number,translit_nikud,hebrew_meaning,arabic_script,item_type,notes
,מַנְ עַלַּמְנִי חַרְפַן כֻּנְת לַהֻ עַבְּדַן,מי שלימדני אות נהייתי לו לעבד,مَن عَلَّمني حَرفًا كُنت لَهُ عَبدًا,sentence,"פתגם. שדה במקור מעל נ של ""מנ"" ומעל ל של ""עלמני"". בספר: (משפט על גדולת האדם המלמד את חברו אפילו אם זאת רק אות אחת)"
,**יַא**פַא,יפו,,word,פתח מלא עם א'
,**דַא**ר,בית,,word,פתח מלא עם א'
,חְ**מַא**ר,חמור,,word,פתח מלא עם א'
,**יוֹ**ם,יום,,word,חולם מלא עם ו'
,**דוֹ**לֶה,מדינה,,word,חולם מלא עם ו'
,בַּנְטַ**לוֹ**ן,מכנסיים,,word,חולם מלא עם ו'
,בַּיְ**רוּ**ת,ביירות (לבנון),,word,שורוק עם ו'
,זֵי**תוּ**ן,זיתים,,word,שורוק עם ו'
,חֻ**כּוּ**מֶה,ממשלה,,word,שורוק עם ו'
,גֵ'**נִי**ן,ג'נין (עיר),,word,חיריק מלא עם י'
,מֻ**דִי**ר,מנהל,,word,חיריק מלא עם י'
,קַ**מִי**צ,חולצה,,word,חיריק מלא עם י'. צ רגילה בסוף מילה (לא סופית)
,**בֵּי**ת,בית,,word,צירי מלא עם י'
,**זֵי**ת,שמן,,word,צירי מלא עם י'
,**חֵיְ**פַא,חיפה (עיר),,word,צירי מלא עם י'
,**עַא**לִי,גבוה,,word,דוגמת ניגוד מול עַלִי
,עַלִי,שם של גבר,,word,דוגמת ניגוד מול עַאלִי
,**מִי**נ,מי,,word,דוגמת ניגוד מול מִנּ
,מִנּ,מ..,,word,שדה על נ. דוגמת ניגוד מול מִין
,**פוּ**ל,פול,,word,דוגמת ניגוד מול פֻלּ
,פֻלּ,יסמין,,word,שדה על ל. דוגמת ניגוד מול פוּל
,וְ**לַא**ד,ילדים,,word,דוגמת ניגוד מול וַלַד
,וַלַד,ילד/בן,,word,דוגמת ניגוד מול וְלַאד
,אִלְחַרַכֶּה פִיהַא בַּרַכֶּה,התנועה יש בה ברכה,,sentence,פתגם
,מַרַּה,פעם,,word,שדה על ר. דוגמת ניגוד מול מַרַה
,מַרַה,אישה,,word,דוגמת ניגוד מול מַרַּה
,**אִלִּי**,אשר,,word,שדה על ל. דוגמת ניגוד מול אִלִי
,אִלִי,יש לי,,word,דוגמת ניגוד מול אִלִּי
,**בִּדִּי**,אני רוצה/צריך,,word,שדה על ד. דוגמת ניגוד מול בִּדִי
,בִּדִי,התחיל,,word,דוגמת ניגוד מול בִּדִּי
,אֻםּ וְאַבּ,אם ואב,,phrase,שדה על ם של אֻם. דוגמת ו' החיבור
,וַלַד וְבִּנְת,ילד וילדה / בן ובת,,phrase,דוגמת ו' החיבור
,מֻדִיר וְמֻדִירֵה,מנהל ומנהלת,,phrase,דוגמת ו' החיבור
,כְּבִּיר וְזְעִ'יר,גדול וקטן,,phrase,דוגמת ו' החיבור
,כַּלְבּ,כלב,,word,מיודע: אִלְכַּלְבּ (הכלב); הַאדַא (א)לְכַּלְבּ (הכלב הזה)
,כַּלְבֶּה,כלבה,,word,מיודע: אִלְכַּלְבֶּה (הכלבה); הַאדִי (א)לְכַּלְבֶּה (הכלבה הזאת)
,מְעַלֵּם,מורה,,word,שדה על ל. מיודע: (א)לְמְעַלֵּם (המורה)
,כְּבִּיר,גדול,,word,מיודע: (א)לְכְּבִּיר (הגדול)
,אַכַּל (א)לְבַּנְדוֹרַה,אכל את העגבנייה,,sentence,רצף שוואים: = אַכַּלִ (א)לְבַּנְדוֹרַה
,כַּתַבּ (א)לְקֻצַּה,כתב את הסיפור,,sentence,שדה על צ. רצף שוואים: = כַּתַבִּ (א)לְקֻצַּה
,סַטְח (א)לְבֵּית,גג הבית,,phrase,רצף שוואים: = סַטְחִ (א)לְבֵּית
,צַבַּאח (א)לְחֵ'יר,בוקר טוב,,phrase,ברכה
,מַסַא (א)לְחֵ'יר,ערב טוב,,phrase,ברכה
,מַרְחַבַּא,ברוכים (הבאים) / שלום,,word,ברכה
,אַהְלַן,ברוכים (הבאים) / שלום,,word,ברכה
,אַהְלַן וְסַהְלַן,ברוכים (הבאים) / שלום,,phrase,ברכה
,צַבַּאח (אל)נּוּר,בוקר אור,,phrase,תשובה לברכה. שדה על נ
,מַסַא (אל)נּוּר,ערב אור,,phrase,תשובה לברכה. שדה על נ
,מַרְחַבְּתֵין,ברוכים (הנמצאים),,word,תשובה לברכה
,אַהְלַן וְסַהְלַן בִּיכּ,שלום לך,,phrase,תשובה לברכה
,אַנַא אִסְמִי אַבּוּ אַמִיר וְאַנַא מְעַלֵּם בְּ(אל)דַּוְרַה,אני שמי אבו אמיר ואני מורה בקורס,,sentence,שדה על ל של מְעַלֵּם ועל ד של (אל)דַּוְרַה
,אִנְתֵ אִסְמַכּ אַחְמַד וְאִנְתֵ טַאלֶבּ פִי (אל)גַ'אמְעַה,אתה שמך אחמד ואתה סטודנט באוניברסיטה,,sentence,שדה על ג'
,אִנְתִי אִסְמֶכּ וִדַאד וְאִנְתִי סֶכְּרֶתֵירַא בְּ(א)לְמַדְרַסֶה,את שמך ודאד ואת מזכירה בבית הספר,,sentence,
